#Frame      Mode1    Mode2    Mode3
     731  -37.297  -64.131  -23.170
     732  -30.014  -56.187  -21.377
     733  -32.047  -51.612  -22.011
     734  -26.478  -59.914   -8.630
     735  -19.082  -63.570   -7.487
     736  -33.902  -52.707  -17.871
     737  -38.855  -59.596  -15.290
     738  -33.751  -51.956  -18.240
     739  -35.106  -58.702  -28.689
     740  -41.131  -59.646  -37.709
     741  -47.870  -49.987  -45.161
     742  -52.647  -39.346  -27.876
     743  -64.154  -43.866  -21.688
     744  -63.884  -35.630  -20.099
     745  -51.703  -42.860  -27.793
     746  -49.453  -48.652  -36.346
     747  -64.547  -50.652  -33.286
     748  -58.909  -53.073  -22.637
     749  -59.448  -56.911  -19.989
     750  -62.534  -73.203  -28.804
     751  -54.724  -63.953  -39.001
     752  -53.169  -67.200  -26.396
     753  -48.476  -67.212  -23.061
     754  -63.213  -58.743  -30.578
     755  -62.322  -49.494  -33.064
     756  -51.377  -55.538  -29.837
     757  -42.699  -61.922  -39.723
     758  -44.175  -46.518  -23.757
     759  -59.985  -51.638  -37.086
     760  -47.748  -45.687  -30.252
     761  -42.857  -60.662  -35.460
     762  -44.894  -48.365  -36.905
     763  -51.249  -42.356  -40.471
     764  -45.267  -44.781  -32.119
     765  -37.257  -49.014  -26.008
     766  -47.376  -50.037  -21.710
     767  -47.415  -53.466  -15.160
     768  -53.010  -54.695  -12.388
     769  -39.879  -60.110   -7.820
     770  -31.151  -64.230   -9.780
     771  -31.142  -74.481   -0.484
     772  -36.965  -63.097   -6.241
     773  -38.636  -73.000  -16.974
     774  -44.884  -67.568  -19.127
     775  -42.473  -60.620  -21.378
     776  -42.259  -61.639  -21.417
     777  -37.492  -63.470  -18.221
     778  -39.705  -60.690  -18.147
     779  -42.687  -61.935   -3.002
     780  -40.199  -59.242  -19.486
     781  -22.409  -63.111  -15.630
     782  -34.285  -50.194  -16.641
     783  -38.742  -44.004  -20.623
     784  -42.384  -51.219   -8.277
